date,GOOG,APPL,AMZN,FB,MSFT
2019-08-21,1191.25,212.639999,1823.540039,183.550003,138.789993
2019-08-22,1189.530029,212.460007,1804.660034,182.039993,137.779999
2019-08-23,1151.290039,202.639999,1749.619995,177.75,133.389999
2019-08-26,1168.890015,206.490005,1768.869995,180.360001,135.449997
2019-08-27,1167.839966,204.160004,1761.829956,181.300003,135.740005
2019-08-28,1171.02002,205.529999,1764.25,181.759995,135.559998
2019-08-29,1192.849976,209.009995,1786.400024,185.570007,138.119995
2019-08-30,1188.099976,208.740005,1776.290039,185.669998,137.860001
2019-09-03,1168.390015,205.699997,1789.839966,182.389999,136.039993
2019-09-04,1181.410034,209.190002,1800.619995,187.139999,137.630005
2019-09-05,1211.380005,213.279999,1840.719971,190.899994,140.050003
2019-09-06,1204.930054,213.259995,1833.51001,187.490005,139.100006
2019-09-09,1204.410034,214.169998,1831.349976,188.759995,137.520004
2019-09-10,1206,216.699997,1820.550049,186.169998,136.080002
2019-09-11,1220.170044,223.589996,1822.98999,188.490005,136.119995
2019-09-12,1234.25,223.089996,1843.550049,187.470001,137.520004
2019-09-13,1239.560059,218.75,1839.339966,187.190002,137.320007
2019-09-16,1231.300049,219.899994,1807.839966,186.220001,136.330002
2019-09-17,1229.150024,220.699997,1822.550049,188.080002,137.389999
2019-09-18,1232.410034,222.770004,1817.459961,188.139999,138.520004
2019-09-19,1238.709961,220.960007,1821.5,190.139999,141.070007
2019-09-20,1229.930054,217.729996,1794.160034,189.929993,139.440002
2019-09-23,1234.030029,218.720001,1785.300049,186.820007,139.139999
2019-09-24,1218.76001,217.679993,1741.609985,181.279999,137.380005
2019-09-25,1246.52002,221.029999,1768.329956,182.800003,139.360001
2019-09-26,1241.390015,219.889999,1739.839966,180.110001,139.539993
2019-09-27,1225.089966,218.820007,1725.449951,177.100006,137.729996
2019-09-30,1219,223.970001,1735.910034,178.080002,139.029999
2019-10-01,1205.099976,224.589996,1735.650024,175.809998,137.070007
2019-10-02,1176.630005,218.960007,1713.22998,174.600006,134.649994
2019-10-03,1187.829956,220.820007,1724.420044,179.380005,136.279999
2019-10-04,1209,227.009995,1739.650024,180.449997,138.119995
2019-10-07,1207.680054,227.059998,1732.660034,179.679993,137.119995
2019-10-08,1189.130005,224.399994,1705.51001,177.75,135.669998
2019-10-09,1202.310059,227.029999,1721.98999,179.850006,138.240005
2019-10-10,1208.670044,230.089996,1720.26001,180.029999,139.100006
2019-10-11,1215.449951,236.210007,1731.920044,184.190002,139.679993
2019-10-14,1217.140015,235.869995,1736.430054,183.279999,139.550003
2019-10-15,1243.01001,235.320007,1767.380005,188.889999,141.570007
2019-10-16,1243.640015,234.369995,1777.430054,189.550003,140.410004
2019-10-17,1253.069946,235.279999,1787.47998,190.389999,139.690002
2019-10-18,1245.48999,236.410004,1757.51001,185.850006,137.410004
2019-10-21,1246.150024,240.509995,1785.660034,189.759995,138.429993
2019-10-22,1242.800049,239.960007,1765.72998,182.339996,136.369995
2019-10-23,1259.130005,243.179993,1762.170044,186.149994,137.240005
2019-10-24,1260.98999,243.580002,1780.780029,186.380005,139.940002
2019-10-25,1265.130005,246.580002,1761.329956,187.889999,140.729996
2019-10-28,1290,249.050003,1777.079956,189.399994,144.190002
2019-10-29,1262.619995,243.289993,1762.709961,189.309998,142.830002
2019-10-30,1261.290039,243.259995,1779.98999,188.25,144.610001
2019-10-31,1260.109985,248.759995,1776.660034,191.649994,143.369995
2019-11-01,1273.73999,255.820007,1791.439941,193.619995,143.720001
2019-11-04,1291.369995,257.5,1804.660034,194.720001,144.550003
2019-11-05,1292.030029,257.130005,1801.709961,194.320007,144.460007
2019-11-06,1291.800049,257.23999,1795.77002,191.550003,144.059998
2019-11-07,1308.859985,259.429993,1788.199951,190.419998,144.259995
2019-11-08,1311.369995,260.140015,1785.880005,190.839996,145.960007
2019-11-11,1299.189941,262.200012,1771.650024,189.610001,146.110001
2019-11-12,1298.800049,261.959991,1778,194.470001,147.070007
2019-11-13,1298,264.470001,1753.109985,193.190002,147.309998
2019-11-14,1311.459961,262.640015,1754.599976,193.149994,148.059998
2019-11-15,1334.869995,265.76001,1739.48999,195.100006,149.970001
2019-11-18,1320.699951,267.100006,1752.530029,197.399994,150.339996
2019-11-19,1315.459961,266.290009,1752.790039,199.320007,150.389999
2019-11-20,1303.050049,263.190002,1745.530029,197.509995,149.619995
2019-11-21,1301.349976,262.01001,1734.709961,197.929993,149.479996
2019-11-22,1295.339966,261.779999,1745.719971,198.820007,149.589996
2019-11-25,1306.689941,266.369995,1773.839966,199.789993,151.229996
2019-11-26,1313.550049,264.290009,1796.939941,198.970001,152.029999
2019-11-27,1312.98999,267.839996,1818.51001,202,152.320007
2019-11-29,1304.959961,267.25,1800.800049,201.639999,151.380005
2019-12-02,1289.920044,264.160004,1781.599976,199.699997,149.550003
2019-12-03,1295.280029,259.450012,1769.959961,198.820007,149.309998
2019-12-04,1320.540039,261.73999,1760.689941,198.710007,149.850006
2019-12-05,1328.130005,265.579987,1740.47998,199.360001,149.929993
2019-12-06,1340.619995,270.709991,1751.599976,201.050003,151.75
2019-12-09,1343.560059,266.920013,1749.51001,201.339996,151.360001
2019-12-10,1344.660034,268.480011,1739.209961,200.869995,151.130005
2019-12-11,1345.02002,270.769989,1748.719971,202.259995,151.699997
2019-12-12,1350.27002,271.459991,1760.329956,196.75,153.240005
2019-12-13,1347.829956,275.149994,1760.939941,194.110001,154.529999
2019-12-16,1361.170044,279.859985,1769.209961,197.919998,155.529999
2019-12-17,1355.119995,280.410004,1790.660034,198.389999,154.690002
2019-12-18,1352.619995,279.73999,1784.030029,202.5,154.369995
2019-12-19,1356.040039,280.019989,1792.280029,206.059998,155.710007
2019-12-20,1349.589966,279.440002,1786.5,206.300003,157.410004
2019-12-23,1348.839966,284,1793,206.179993,157.410004
2019-12-24,1343.560059,284.269989,1789.209961,205.119995,157.380005
2019-12-26,1360.400024,289.910004,1868.77002,207.789993,158.669998
2019-12-27,1351.890015,289.799988,1869.800049,208.100006,158.960007
2019-12-30,1336.140015,291.519989,1846.890015,204.410004,157.589996
2019-12-31,1337.02002,293.649994,1847.839966,205.25,157.699997
2020-01-02,1367.369995,300.350006,1898.01001,209.779999,160.619995
2020-01-03,1360.660034,297.429993,1874.969971,208.669998,158.619995
2020-01-06,1394.209961,299.799988,1902.880005,212.600006,159.029999
2020-01-07,1393.339966,298.390015,1906.859985,213.059998,157.580002
2020-01-08,1404.319946,303.190002,1891.969971,215.220001,160.089996
2020-01-09,1419.829956,309.630005,1901.050049,218.300003,162.089996
